chrom	start	end	strand	count
chr20	45208207	45208312	+	5
chr20	45221969	45221994	+	1
chr20	45222506	45222620	+	1
chr20	45222686	45222902	+	2
chr20	45222799	45222931	+	1
chr20	45222914	45223095	+	7
chr21	33550104	33550220	+	1
chr21	45512232	45512314	+	1
chr22	21644015	21644071	+	1
chr22	29299616	29299647	+	4
chr22	38113553	38113640	-	1
chr6	30602148	30602335	-	1
chr6	31900000	31900039	-	1
chr6	116278683	116278808	-	1
chr6	170318511	170318620	+	3
chr7	102457457	102457517	-	1
chr7	134451636	134451658	-	1
chr7	138917041	138917123	-	6
chrX	101553284	101553922	+	2
chr1	100874253	100874373	-	9
chr1	149926541	149926655	-	6
chr1	151176775	151176869	-	1
chr1	154959527	154959651	-	1
chr1	156738625	156738647	-	1
chr1	159928254	159928303	-	1
chr1	207022508	207022599	-	4
chr1	225514810	225514833	-	1
chr1	244863932	244863975	-	1
chr10	101694481	101694674	-	1
chr11	4653150	4653235	+	2
chr11	62521747	62522132	-	5
chr11	62522139	62525416	-	4
chr11	62525728	62526497	-	9
chr11	62527519	62527793	-	4
chr11	62528068	62528378	-	2
chr11	75587615	75587682	-	2
chr12	45926291	45928653	-	4
chr12	52515147	52515172	-	7
chr12	124912211	124912409	-	1
chr13	49476698	49476793	+	9
chr14	104944320	104948776	-	8
chr14	104950884	104951875	-	14
chr15	40471574	40471682	+	1
chr15	99105832	99105905	+	4
chr16	2930630	2930713	+	1
chr16	15741825	15741847	-	2
chr16	28924466	28924503	-	2
chr16	75229867	75229967	-	1
chr17	4672913	4672950	-	2
chr17	16382358	16382412	+	14
chr17	35844770	35844795	+	9
chr17	41624170	41624263	-	4
chr17	50482228	50482298	+	3
chr17	82085721	82085752	-	1
chr19	12526835	12526920	-	1
chr19	17328264	17328540	-	4
chr19	39875616	39875689	-	1
chr19	45785783	45786325	-	10
chr19	47745705	47745737	+	1
chr19	49661947	49662145	-	5
chr19	50858162	50858234	+	1
chr19	52613676	52613761	-	10
chr2	85327226	85327395	-	3
chr2	219451746	219451774	+	1
chr20	17659604	17659695	-	4
chr22	20564520	20564551	+	2
chr22	29480925	29481019	+	1
chr22	29489773	29489822	+	1
chr3	51993826	51993857	-	2
chr3	51993856	51994040	-	1
chr3	168032591	168032646	-	1
chr4	186621317	186621467	-	1
chr5	71510251	71510414	+	1
chr5	146459033	146459166	+	1
chr5	151803987	151804021	+	1
chr5	179617032	179617063	-	1
chr6	17625876	17626007	-	1
chr6	30602244	30602335	-	4
chr6	31632895	31632935	+	1
chr6	31828229	31828263	+	1
chr6	35318363	35318397	+	1
chr6	143504085	143504167	-	7
chr6	170318511	170318764	+	1
chr7	6585094	6585201	+	1
chr8	143983617	143983646	-	1
chr8	143984989	143985071	-	6
chr9	19378819	19378861	-	12
chr9	128179000	128179127	-	9
chrX	103216359	103216407	+	1
chrX	153951988	153952019	-	1
chr1	1374240	1374362	-	15
chr1	11022451	11022505	+	1
chr1	44827489	44827578	-	4
chr1	206648664	206648701	+	1
chr10	68982648	68982709	+	2
chr10	101005568	101005593	+	2
chr11	62522899	62523103	-	1
chr11	62611456	62611478	-	1
chr11	117918610	117918746	-	12
chr12	6938816	6938904	+	1
chr12	52675440	52675462	-	2
chr12	108623557	108623618	-	1
chr12	124912304	124912409	-	1
chr12	131851185	131851260	+	1
chr13	44573206	44573570	-	4
chr15	72241514	72241542	-	1
chr16	1999711	2000004	-	2
chr16	2108692	2108741	-	1
chr16	2109241	2109281	-	1
chr16	31490412	31490440	+	1
chr17	4672931	4672968	-	1
chr17	36498390	36498468	-	1
chr17	41505315	41505364	-	7
chr17	75589424	75589621	+	9
chr17	82238904	82238947	+	2
chr17	82440116	82440184	+	1
chr19	5711905	5711957	-	2
chr19	18280455	18280525	-	1
chr19	18436782	18436846	-	1
chr19	35732757	35733259	+	1
chr19	49338757	49338833	+	1
chr19	50878446	50878587	+	2
chr2	88857507	88857577	-	1
chr2	218643553	218644286	-	1
chr20	17658973	17659605	-	1
chr20	17659544	17659605	-	8
chr22	19144520	19144569	-	1
chr22	22871825	22871971	+	1
chr22	29299709	29299743	+	3
chr22	29489580	29489965	+	2
chr22	38294132	38294166	-	1
chr22	50730802	50730947	+	10
chr3	195778873	195784154	-	1
chr3	195778921	195781370	-	1
chr3	195778969	195779306	-	4
chr3	195778969	195779066	-	2
chr3	195779113	195785738	-	5
chr3	195779401	195779498	-	2
chr3	195779593	195781034	-	4
chr3	195780361	195780410	-	14
chr3	195780937	195788426	-	4
chr3	195781129	195786650	-	8
chr3	195781657	195782330	-	1
chr3	195781801	195783338	-	1
chr3	195782233	195784058	-	4
chr3	195782665	195783194	-	1
chr3	195785305	195785930	-	8
chr3	195867759	195868039	-	1
chr4	109822425	109822474	+	3
chr6	12164168	12164342	+	1
chr6	17629080	17629396	-	1
chr6	21594966	21595199	+	1
chr6	30602100	30602197	-	1
chr6	30602244	30602383	-	1
chr6	31828256	31829541	+	1
chr6	43451084	43451175	-	12
chr7	5370495	5370535	-	1
chr7	44106596	44106756	+	1
chr7	99435005	99435154	-	3
chr7	105113190	105113233	+	1
chr7	144187215	144187280	-	1
chr8	22102583	22102615	+	1
chr8	143983563	143983630	-	1
chr9	93292796	93292902	+	1
chrX	54809844	54809881	+	7
chrX	151962512	151962609	-	2
chrX	153952562	153952587	-	1
chr1	22647370	22647490	+	2
chr1	90007505	90007634	+	4
chr1	113981429	113981461	+	1
chr1	161198125	161198177	-	1
chr10	101006880	101006950	+	2
chr11	6390698	6390779	+	1
chr11	6632273	6632812	-	5
chr11	60919799	60919866	+	1
chr11	62522515	62522900	-	4
chr11	62524861	62525246	-	6
chr11	62526112	62526497	-	2
chr11	62527785	62530753	-	1
chr11	62529781	62530550	-	2
chr11	62530549	62530934	-	5
chr11	62532975	62533045	-	1
chr11	75193282	75193442	+	5
chr11	76796547	76796600	+	1
chr11	108481286	108481335	-	1
chr12	57225220	57225675	+	4
chr12	124912734	124912848	-	1
chr12	124912864	124913093	-	1
chr13	52377938	52377991	-	1
chr13	110164906	110164964	-	1
chr13	110478047	110478075	+	1
chr14	23418289	23418317	-	2
chr14	103530149	103530234	+	2
chr14	105742097	105742140	-	8
chr15	80979359	80979388	-	2
chr16	15635688	15636193	-	3
chr16	15726916	15726959	-	2
chr17	8146658	8146707	-	1
chr17	17158801	17158831	+	1
chr17	35844905	35844987	+	3
chr17	41505351	41505376	-	3
chr19	7870216	7870403	-	1
chr19	12526751	12526836	-	1
chr19	12792123	12792145	+	1
chr19	42080133	42080414	+	3
chr19	44909055	44909089	+	1
chr2	27378618	27378929	-	5
chr2	33585158	33585243	-	2
chr2	74460538	74460562	+	4
chr2	85327302	85327513	-	2
chr2	86151314	86151457	-	1
chr2	151462938	151465854	+	1
chr2	164728041	164728144	-	1
chr2	227050993	227051075	-	2
chr20	17658748	17658899	-	8
chr20	17659724	17659785	-	1
chr20	41362078	41362587	-	1
chr22	17790815	17790855	-	1
chr22	29489227	29489390	+	8
chr22	29489269	29489534	+	4
chr22	37805910	37806052	+	10
chr3	47916413	47916576	-	1
chr3	57912565	57912640	+	1
chr3	113273142	113273229	+	4
chr3	195779401	195780314	-	2
chr3	195779401	195779594	-	4
chr3	195779689	195780266	-	2
chr3	195780553	195780650	-	1
chr3	195780745	195780938	-	1
chr3	195780793	195780986	-	1
chr3	195781177	195784490	-	7
chr3	195783145	195783242	-	2
chr3	195784153	195784250	-	1
chr3	195784825	195784922	-	1
chr3	195788473	195788570	-	2
chr3	195867469	195867694	-	1
chr4	24800001	24800101	+	1
chr4	56931072	56931121	+	3
chr4	56931120	56931169	+	5
chr4	151174849	151175133	-	1
chr4	186708557	186708664	-	1
chr5	146459081	146459178	+	1
chr5	179863718	179863826	-	2
chr6	30602334	30602383	-	2
chr7	127591224	127591250	+	2
chr8	143580586	143580608	-	5
chr8	144792056	144792099	-	1
chr9	35560618	35560711	+	1
chrX	1389292	1389356	-	1
chrX	101489853	101489950	+	1
chrX	105908901	105908938	+	1
chrX	153959895	153960103	-	3
chrX	154359535	154359588	-	3
chr1	3787071	3787139	-	1
chr1	150267988	150268038	-	1
chr1	154601818	154601966	-	2
chr1	155015126	155015210	+	1
chr1	160240202	160240300	-	1
chr1	204469092	204469582	-	1
chr1	205659275	205659300	-	1
chr11	67490849	67490931	+	1
chr11	72015417	72015493	-	1
chr12	49039875	49041301	-	4
chr12	108623587	108623738	-	3
chr12	108623797	108623828	-	1
chr12	122867437	122867461	-	1
chr12	124012594	124012679	+	1
chr12	124913039	124913159	-	1
chr14	105625936	105626034	-	1
chr14	105643323	105643461	-	2
chr16	2766158	2766300	+	5
chr16	2766230	2766270	+	1
chr16	2766542	2766585	+	2
chr16	27362717	27362739	+	1
chr16	57382519	57382542	+	1
chr17	28898648	28898708	-	1
chr17	41505315	41505352	-	4
chr17	44400337	44401042	-	2
chr19	1271389	1271444	+	1
chr19	4839401	4839423	-	1
chr19	19679505	19679786	+	3
chr19	29610513	29610544	+	1
chr19	40717485	40717738	+	1
chr19	42290884	42291274	+	9
chr19	50860014	50860077	+	4
chr19	52115411	52115664	-	3
chr19	52799796	52799965	-	1
chr2	17931018	17931362	+	3
chr2	26778160	26778234	+	1
chr2	63404088	63404568	-	2
chr2	71078396	71078436	+	1
chr2	85327134	85327261	-	7
chr2	223598215	223598336	-	2
chr20	34757436	34757674	-	1
chr20	45175872	45175945	+	1
chr22	23958348	23958387	-	1
chr22	29488975	29489103	+	1
chr22	29489071	29489165	+	1
chr22	29489449	29489552	+	2
chr22	36293391	36293425	-	4
chr22	37851407	37851459	+	4
chr22	39514082	39514120	+	1
chr3	47419509	47419630	-	1
chr3	128067559	128067596	+	1
chr3	141292946	141292968	+	1
chr3	195779545	195780170	-	1
chr3	195780313	195780362	-	1
chr3	195781945	195782186	-	2
chr4	109816261	109816292	+	1
chr5	113563940	113564042	+	5
chr6	33290393	33290427	+	2
chr7	30452697	30452834	-	8
chr8	143983677	143983702	-	2
chr9	128179126	128179199	-	1
chr9	137169786	137169857	-	1
chrX	102715087	102715160	+	1
chrX	103609127	103609218	+	1
chr1	26794273	26794834	+	2
chr1	26900228	26900398	-	1
chr11	62524827	62524918	-	1
chr11	86951940	86952269	-	1
chr12	124911952	124912181	-	6
chr14	22875465	22875887	+	1
chr14	22876177	22876269	+	1
chr14	106359902	106359990	-	1
chr15	43535069	43535196	-	7
chr16	30223218	30223264	-	1
chr16	83965236	83965799	+	1
chr17	7824616	7824695	+	1
chr17	16070298	16070391	-	4
chr17	41505315	41505340	-	4
chr17	58310981	58311145	-	2
chr17	75100623	75100717	+	8
chr19	4512943	4513039	-	1
chr19	14073145	14073193	+	1
chr19	40396887	40396912	-	1
chr19	43607780	43607802	-	1
chr19	58261035	58261392	+	1
chr2	85327470	85327513	-	2
chr2	201386317	201386413	-	4
chr22	29489227	29489372	+	3
chr22	37805928	37805980	+	2
chr3	47004210	47004286	+	2
chr3	52487389	52487495	+	1
chr3	195778873	195779306	-	1
chr3	195780073	195781226	-	1
chr3	195780313	195784250	-	4
chr3	195781321	195781946	-	1
chr3	195781561	195781658	-	5
chr3	195781609	195782330	-	5
chr3	195785305	195785594	-	2
chr3	195785305	195785642	-	3
chr3	195785737	195786122	-	4
chr5	71510221	71510630	+	1
chr5	93593749	93593834	+	1
chr6	30731024	30731053	-	1
chr6	31865919	31866063	-	2
chr6	34541074	34541099	-	6
chr6	167965830	167965964	+	2
chr7	2433710	2433752	+	1
chr7	73831222	73831334	+	1
chr8	143599487	143599548	+	1
chr9	121772853	121772939	+	2
chrX	3310085	3310249	-	1
chrX	119469766	119469893	+	2
chr1	22639161	22639267	+	2
chr1	22660892	22660947	+	6
chr1	36296670	36296717	+	1
chr1	53952247	53952339	+	1
chr1	156939651	156939763	-	1
chr1	204954256	204954365	+	1
chr10	51697955	51697986	-	7
chr10	73516903	73517514	-	1
chr11	57310296	57310333	-	1
chr11	62528113	62528698	-	3
chr11	62529916	62530301	-	2
chr11	62530368	62530753	-	8
chr11	62726741	62726842	-	1
chr11	63817887	63818017	+	2
chr11	66599192	66599220	+	1
chr11	72015387	72015493	-	1
chr11	75193282	75193359	+	2
chr12	6667929	6668059	-	1
chr12	14774512	14774583	+	2
chr12	49128053	49128117	-	2
chr12	64425836	64425861	+	1
chr14	92651870	92652032	+	2
chr14	94062391	94062500	-	2
chr14	94614793	94614918	+	3
chr14	105643343	105643419	-	1
chr15	43535039	43535133	-	1
chr15	71893011	71893111	-	1
chr16	2762369	2762430	+	4
chr17	1936618	1936721	-	1
chr17	4672931	4672986	-	1
chr17	41518497	41518679	-	1
chr17	80288057	80288145	+	2
chr19	10396089	10396126	-	1
chr19	39539772	39539899	-	1
chr19	45765925	45766029	-	1
chr19	46411645	46411862	-	2
chr19	50007743	50007765	-	2
chr19	51586698	51586939	+	3
chr19	52766336	52766589	-	1
chr2	27378082	27378195	-	12
chr2	85327328	85327413	-	4
chr2	89268116	89268214	-	1
chr2	175179135	175179184	-	1
chr2	231455442	231455525	-	1
chr2	233523314	233523391	-	2
chr20	63735377	63735491	+	4
chr20	63869369	63869406	+	1
chr20	63999615	63999698	+	1
chr22	29299616	29299689	+	4
chr22	29489695	29489826	+	2
chr3	51993844	51993893	-	2
chr3	195779833	195779930	-	4
chr3	195780121	195780266	-	1
chr3	195780457	195781562	-	1
chr3	195781129	195781226	-	1
chr3	195781609	195781658	-	1
chr3	195782953	195783290	-	1
chr5	80169431	80169517	-	2
chr5	134146429	134146456	+	1
chr6	17625876	17625988	-	2
chr6	30602148	30602293	-	2
chr6	31356854	31356942	-	1
chr6	85615006	85615046	-	8
chr6	145945478	145945562	-	2
chr7	18590430	18590466	+	1
chr7	36155140	36155174	+	1
chr7	92134322	92134356	-	1
chr7	152163177	152163274	-	1
chr8	41934355	41934413	-	1
chr8	143923646	143923677	-	2
chr9	68537324	68537421	-	5
chr9	135487340	135487485	+	1
chrX	10567293	10567384	-	1
chrX	51744091	51744216	+	3
chrX	71616507	71616845	-	2
chrY	19709578	19709660	-	4
chr1	36098212	36098717	-	1
chr1	57015152	57015334	-	1
chr1	151038801	151038947	+	1
chr1	180194245	180194276	+	1
chr1	201900298	201900347	-	2
chr11	1016084	1016671	-	1
chr11	62523471	62524828	-	2
chr11	62529916	62530685	-	8
chr11	68044203	68044254	+	1
chr11	72015152	72015283	-	1
chr11	72015567	72015664	-	2
chr11	118902005	118902075	-	1
chr12	49031312	49032513	-	2
chr12	49038270	49038763	-	1
chr12	108623617	108623738	-	1
chr12	124012678	124012763	+	1
chr12	124912734	124913093	-	1
chr12	124913450	124913532	-	1
chr14	45095305	45095406	+	4
chr14	104944209	104944282	-	1
chr14	104948802	104949793	-	2
chr15	85741323	85741451	+	1
chr15	99130882	99130974	+	1
chr16	30582791	30583140	-	1
chr17	40095611	40095731	-	8
chr17	42404725	42404831	-	1
chr19	2833752	2833944	+	1
chr19	7612176	7612276	+	1
chr19	40396638	40396717	-	1
chr19	57641502	57641587	+	1
chr2	73081419	73081645	-	1
chr2	189004000	189004037	+	2
chr2	219418627	219418719	+	3
chr20	45207847	45208568	+	1
chr20	45208207	45208273	+	3
chr20	45208207	45208353	+	6
chr20	45222542	45222722	+	2
chr20	45222686	45222980	+	2
chr20	45222734	45222915	+	3
chr20	45222799	45222911	+	3
chr20	45223287	45223319	+	1
chr21	46411518	46411549	+	1
chr22	17108802	17108938	+	1
chr3	9473344	9473464	+	1
chr3	9949380	9949624	-	1
chr3	24127534	24127670	-	1
chr3	49163146	49163207	-	1
chr3	51994009	51994040	-	2
chr3	123614109	123614137	-	1
